Accession	Log_likelihood	GC	Sc	St
Mycoplasma_pneumoniae_DNA_BAV20896.1	-289.1	-0.3492	-0.0946	-0.2855
Mycoplasma_pneumoniae_DNA_BAV20507.1	-676.5	-0.3492	-0.0736	-0.1051
Mycoplasma_pneumoniae_DNA_BAV20430.1	-569.3	-0.3492	-0.0771	-0.4009
Mycoplasma_pneumoniae_DNA_BAV20907.1	-133.9	-0.3492	-0.1758	0.6906
Mycoplasma_pneumoniae_DNA_BAV20862.1	-439.9	-0.3492	-0.0502	0.0114
Mycoplasma_pneumoniae_DNA_BAV20438.1	-751.1	-0.3492	-0.1214	0.2523
Mycoplasma_pneumoniae_DNA_BAV20505.1	-523.3	-0.3492	-0.1043	-0.3433
Mycoplasma_pneumoniae_DNA_BAV20899.1	-298.1	-0.3492	-0.1542	-0.0814
Mycoplasma_pneumoniae_DNA_BAV20611.1	-1220.1	-0.3492	-0.154	0.3579
Mycoplasma_pneumoniae_DNA_BAV20911.1	-467.3	-0.3492	-0.0565	-0.0573
Mycoplasma_pneumoniae_DNA_BAV20434.1	-65.6	-0.3492	-0.1247	-0.2671
Mycoplasma_pneumoniae_DNA_BAV20802.1	-695.7	-0.3492	-0.1184	0.0573
Mycoplasma_pneumoniae_DNA_BAV20490.1	-106.7	-0.3492	-0.1513	0.0835
Mycoplasma_pneumoniae_DNA_BAV20800.1	-195.3	-0.3492	-0.2676	0.571
Mycoplasma_pneumoniae_DNA_BAV20818.1	-490.0	-0.3492	-0.1617	0.577
Mycoplasma_pneumoniae_DNA_BAV20868.1	-195.4	-0.3492	-0.2808	0.7232
Mycoplasma_pneumoniae_DNA_BAV20432.1	-102.3	-0.3492	-0.2655	0.5669
Mycoplasma_pneumoniae_DNA_BAV20915.1	-646.5	-0.3492	-0.0733	-0.2732
Mycoplasma_pneumoniae_DNA_BAV20515.1	-815.0	-0.3492	-0.1846	-0.0242
Mycoplasma_pneumoniae_DNA_BAV20917.1	-253.1	-0.3492	-0.1208	-0.5359
Mycoplasma_pneumoniae_DNA_BAV20477.1	-462.5	-0.3492	-0.147	0.1822
Mycoplasma_pneumoniae_DNA_BAV20816.1	-133.9	-0.3492	-0.2098	0.2591
