Accession	%Both_optimised	%Cost_optimised	%tAI_optimised
Mycoplasma_pneumoniae_DNA_BAV20896.1	56.3	54.13	42.86
Mycoplasma_pneumoniae_DNA_BAV20507.1	56.18	50.51	46.19
Mycoplasma_pneumoniae_DNA_BAV20430.1	54.62	52.55	42.22
Mycoplasma_pneumoniae_DNA_BAV20907.1	64.01	51.94	53.41
Mycoplasma_pneumoniae_DNA_BAV20862.1	56.59	49.21	47.87
Mycoplasma_pneumoniae_DNA_BAV20438.1	60.33	51.03	50.14
Mycoplasma_pneumoniae_DNA_BAV20505.1	54.2	53.15	42.29
Mycoplasma_pneumoniae_DNA_BAV20899.1	60.45	56.35	46.06
Mycoplasma_pneumoniae_DNA_BAV20611.1	61.53	53.24	50.45
Mycoplasma_pneumoniae_DNA_BAV20911.1	56.46	50.16	45.92
Mycoplasma_pneumoniae_DNA_BAV20434.1	54.97	53.78	42.69
Mycoplasma_pneumoniae_DNA_BAV20802.1	59.06	52.18	47.76
Mycoplasma_pneumoniae_DNA_BAV20490.1	58.9	54.76	45.5
Mycoplasma_pneumoniae_DNA_BAV20800.1	64.89	56.94	50.83
Mycoplasma_pneumoniae_DNA_BAV20818.1	63.64	50.88	53.0
Mycoplasma_pneumoniae_DNA_BAV20868.1	67.15	57.39	52.51
Mycoplasma_pneumoniae_DNA_BAV20432.1	67.17	56.76	53.01
Mycoplasma_pneumoniae_DNA_BAV20915.1	54.76	51.55	42.93
Mycoplasma_pneumoniae_DNA_BAV20515.1	61.64	58.39	45.61
Mycoplasma_pneumoniae_DNA_BAV20917.1	54.15	55.92	39.21
Mycoplasma_pneumoniae_DNA_BAV20477.1	61.05	52.97	49.0
Mycoplasma_pneumoniae_DNA_BAV20816.1	61.51	55.23	49.14
Mycoplasma_pneumoniae_DNA_BAV20613.1	59.49	50.66	49.81
Mycoplasma_pneumoniae_DNA_BAV20517.1	53.94	45.94	48.15
Mycoplasma_pneumoniae_DNA_BAV20700.1	50.27	46.75	42.0
Mycoplasma_pneumoniae_DNA_BAV20929.1	65.72	53.3	54.65
Mycoplasma_pneumoniae_DNA_BAV20842.1	52.84	49.02	44.8
Mycoplasma_pneumoniae_DNA_BAV20925.1	50.84	47.04	42.66
Mycoplasma_pneumoniae_DNA_BAV20509.1	57.67	58.54	41.17
Mycoplasma_pneumoniae_DNA_BAV20836.1	56.95	53.5	44.29
Mycoplasma_pneumoniae_DNA_BAV20840.1	57.68	54.8	43.67
Mycoplasma_pneumoniae_DNA_BAV20513.1	62.07	62.5	46.35
Mycoplasma_pneumoniae_DNA_BAV20828.1	57.76	53.05	45.49
Mycoplasma_pneumoniae_DNA_BAV20834.1	54.27	51.79	45.36
Mycoplasma_pneumoniae_DNA_BAV20501.1	63.29	51.8	51.92
Mycoplasma_pneumoniae_DNA_BAV20495.1	54.68	53.93	42.63
Mycoplasma_pneumoniae_DNA_BAV20844.1	57.13	52.87	43.64
Mycoplasma_pneumoniae_DNA_BAV20244.1	61.61	55.74	48.13
Mycoplasma_pneumoniae_DNA_BAV20730.1	51.92	50.86	40.41
Mycoplasma_pneumoniae_DNA_BAV20497.1	58.48	47.62	50.55
Mycoplasma_pneumoniae_DNA_BAV20830.1	63.49	61.25	45.54
Mycoplasma_pneumoniae_DNA_BAV20246.1	61.07	53.02	48.04
Mycoplasma_pneumoniae_DNA_BAV20732.1	58.9	51.31	48.43
Mycoplasma_pneumoniae_DNA_BAV20522.1	59.86	49.36	51.47
Mycoplasma_pneumoniae_DNA_BAV20883.1	58.73	50.62	48.36
Mycoplasma_pneumoniae_DNA_BAV20623.1	55.34	53.33	42.21
Mycoplasma_pneumoniae_DNA_BAV20284.1	61.58	55.22	47.33
Mycoplasma_pneumoniae_DNA_BAV20493.1	64.45	59.38	48.48
Mycoplasma_pneumoniae_DNA_BAV20905.1	63.84	56.78	48.93
Mycoplasma_pneumoniae_DNA_BAV20552.1	54.32	54.22	41.3
Mycoplasma_pneumoniae_DNA_BAV20286.1	55.88	47.66	46.71
Mycoplasma_pneumoniae_DNA_BAV20503.1	60.05	59.89	44.44
Mycoplasma_pneumoniae_DNA_BAV20846.1	58.89	53.21	46.85
Mycoplasma_pneumoniae_DNA_BAV20633.1	66.15	56.5	52.58
Mycoplasma_pneumoniae_DNA_BAV20627.1	64.7	56.55	49.77
Mycoplasma_pneumoniae_DNA_BAV20792.1	59.65	53.28	47.13
Mycoplasma_pneumoniae_DNA_BAV20282.1	59.22	53.21	47.39
Mycoplasma_pneumoniae_DNA_BAV20511.1	58.01	53.23	47.18
Mycoplasma_pneumoniae_DNA_BAV20878.1	66.95	59.19	49.22
Mycoplasma_pneumoniae_DNA_BAV20533.1	54.58	53.28	41.47
Mycoplasma_pneumoniae_DNA_BAV20939.1	59.28	54.61	46.12
Mycoplasma_pneumoniae_DNA_BAV20250.1	55.51	56.4	40.9
Mycoplasma_pneumoniae_DNA_BAV20519.1	64.35	60.15	46.95
Mycoplasma_pneumoniae_DNA_BAV20870.1	62.11	59.93	45.9
Mycoplasma_pneumoniae_DNA_BAV20483.1	53.8	48.27	46.27
Mycoplasma_pneumoniae_DNA_BAV20558.1	65.22	64.1	44.03
Mycoplasma_pneumoniae_DNA_BAV20531.1	59.04	50.15	51.08
Mycoplasma_pneumoniae_DNA_BAV20712.1	55.84	51.4	44.85
Mycoplasma_pneumoniae_DNA_BAV20858.1	60.65	54.15	48.19
Mycoplasma_pneumoniae_DNA_BAV20769.1	60.19	55.15	48.03
Mycoplasma_pneumoniae_DNA_BAV20485.1	61.11	54.64	48.7
Mycoplasma_pneumoniae_DNA_BAV20526.1	54.34	49.64	46.26
Mycoplasma_pneumoniae_DNA_BAV20619.1	57.96	54.27	45.06
Mycoplasma_pneumoniae_DNA_BAV20535.1	55.28	48.44	46.23
Mycoplasma_pneumoniae_DNA_BAV20280.1	54.5	48.19	45.94
Mycoplasma_pneumoniae_DNA_BAV20550.1	57.94	54.31	44.17
Mycoplasma_pneumoniae_DNA_BAV20242.1	58.9	50.29	50.7
Mycoplasma_pneumoniae_DNA_BAV20279.1	54.23	45.9	48.88
Mycoplasma_pneumoniae_DNA_BAV20481.1	59.23	54.4	46.03
Mycoplasma_pneumoniae_DNA_BAV20909.1	58.85	54.84	47.01
Mycoplasma_pneumoniae_DNA_BAV20262.1	54.7	49.36	43.79
Mycoplasma_pneumoniae_DNA_BAV20716.1	63.9	52.94	51.44
Mycoplasma_pneumoniae_DNA_BAV20901.1	58.3	57.22	42.1
Mycoplasma_pneumoniae_DNA_BAV20570.1	53.36	44.01	50.02
Mycoplasma_pneumoniae_DNA_BAV20260.1	63.64	63.11	42.21
Mycoplasma_pneumoniae_DNA_BAV20714.1	48.14	43.11	45.27
Mycoplasma_pneumoniae_DNA_BAV20487.1	55.62	51.29	43.34
Mycoplasma_pneumoniae_DNA_BAV20248.1	50.86	49.49	41.42
Mycoplasma_pneumoniae_DNA_BAV20551.1	56.04	51.57	45.41
Mycoplasma_pneumoniae_DNA_BAV20649.1	53.88	54.37	40.85
Mycoplasma_pneumoniae_DNA_BAV20603.1	49.14	42.71	43.99
Mycoplasma_pneumoniae_DNA_BAV20574.1	63.42	60.51	46.13
Mycoplasma_pneumoniae_DNA_BAV20554.1	59.91	54.19	45.88
Mycoplasma_pneumoniae_DNA_BAV20277.1	58.53	54.29	45.44
Mycoplasma_pneumoniae_DNA_BAV20230.1	58.45	52.83	46.16
Mycoplasma_pneumoniae_DNA_BAV20637.1	51.71	45.96	45.05
Mycoplasma_pneumoniae_DNA_BAV20854.1	61.61	58.43	44.02
Mycoplasma_pneumoniae_DNA_BAV20556.1	67.41	52.72	55.69
Mycoplasma_pneumoniae_DNA_BAV20722.1	48.26	46.51	39.43
Mycoplasma_pneumoniae_DNA_BAV20524.1	57.91	57.31	41.66
Mycoplasma_pneumoniae_DNA_BAV20537.1	58.0	56.48	43.41
Mycoplasma_pneumoniae_DNA_BAV20679.1	57.4	52.05	44.93
Mycoplasma_pneumoniae_DNA_BAV20852.1	59.22	51.18	50.23
Mycoplasma_pneumoniae_DNA_BAV20887.1	62.03	55.83	48.8
Mycoplasma_pneumoniae_DNA_BAV20256.1	60.86	57.53	44.91
Mycoplasma_pneumoniae_DNA_BAV20720.1	57.32	50.7	48.06
Mycoplasma_pneumoniae_DNA_BAV20607.1	59.75	50.53	50.11
Mycoplasma_pneumoniae_DNA_BAV20388.1	62.34	52.46	50.41
Mycoplasma_pneumoniae_DNA_BAV20576.1	53.58	49.01	47.65
Mycoplasma_pneumoniae_DNA_BAV20254.1	59.8	52.24	48.2
Mycoplasma_pneumoniae_DNA_BAV20520.1	53.09	49.18	43.52
Mycoplasma_pneumoniae_DNA_BAV20778.1	63.4	60.56	43.18
Mycoplasma_pneumoniae_DNA_BAV20539.1	57.91	52.05	45.65
Mycoplasma_pneumoniae_DNA_BAV20738.1	51.05	45.85	44.36
Mycoplasma_pneumoniae_DNA_BAV20856.1	52.73	45.56	45.22
Mycoplasma_pneumoniae_DNA_BAV20598.1	50.32	44.15	43.98
Mycoplasma_pneumoniae_DNA_BAV20548.1	59.32	54.83	46.2
Mycoplasma_pneumoniae_DNA_BAV20387.1	59.99	55.34	47.2
Mycoplasma_pneumoniae_DNA_BAV20489.1	53.92	48.35	46.72
Mycoplasma_pneumoniae_DNA_BAV20381.1	59.37	46.31	49.61
Mycoplasma_pneumoniae_DNA_BAV20540.1	61.33	56.0	46.59
Mycoplasma_pneumoniae_DNA_BAV20927.1	60.53	57.72	45.47
Mycoplasma_pneumoniae_DNA_BAV20399.1	60.26	48.31	51.48
Mycoplasma_pneumoniae_DNA_BAV20900.1	57.49	58.93	41.13
Mycoplasma_pneumoniae_DNA_BAV20296.1	57.44	50.14	48.09
Mycoplasma_pneumoniae_DNA_BAV20229.1	51.73	52.4	41.04
Mycoplasma_pneumoniae_DNA_BAV20850.1	56.14	54.79	43.37
Mycoplasma_pneumoniae_DNA_BAV20275.1	58.14	51.38	47.67
Mycoplasma_pneumoniae_DNA_BAV20264.1	61.97	53.84	49.63
Mycoplasma_pneumoniae_DNA_BAV20923.1	57.73	48.32	49.15
Mycoplasma_pneumoniae_DNA_BAV20367.1	66.64	60.82	51.31
Mycoplasma_pneumoniae_DNA_BAV20290.1	59.98	53.76	47.05
Mycoplasma_pneumoniae_DNA_BAV20601.1	56.55	55.49	42.8
Mycoplasma_pneumoniae_DNA_BAV20473.1	59.15	56.4	45.18
